seq_num,time,pil1mstats2,ssacurrent,pil1M_stats1_total,pil1M_image,pil300KW_stats1_total,pil300KW_image,pil1mstats3
1,2017-10-30 20:01:08.044639000,7216205.0,0.8983097076416018,5699127.0,d58fbcf0-f986-41ee-ba1a-546ad77115bb,15958341.0,a53c7648-55f9-4127-b054-dde67050d101,129642757.0
2,2017-10-30 20:01:13.591367000,7219516.0,0.8980979919433595,5699185.0,47083be3-804d-4bad-b7da-ca0b85fb9cc9,15928075.0,38d9c52f-1afb-472e-b206-41fdba0c2496,129683227.0
3,2017-10-30 20:01:18.976894000,7227287.0,0.898244857788086,5696392.0,16ec8980-11a1-48bf-b113-145f7a266f13,15913942.0,f035d74b-30ab-4bf9-8bb3-a3bf370f9e55,129769297.0
4,2017-10-30 20:01:24.384696000,7226924.0,0.8986358642578127,5688789.0,440266a3-f2db-4dd5-82a0-73b2467ea220,15895889.0,9919145a-de1f-4615-a634-538f0a78e120,129744330.0
5,2017-10-30 20:01:29.860501000,7227291.0,0.8981513977050782,5689047.0,649908f4-b89f-4726-9fc1-449dcbd7c3de,15878774.0,12a8953a-5322-431d-b038-40b574d11300,129804427.0
6,2017-10-30 20:01:35.242474000,7233476.0,0.8972606658935548,5691566.0,3e73551c-de11-4506-844b-f08763116375,15870184.0,f17d1559-2608-41a3-8c2b-e3a5bd8b9c7a,129868239.0
7,2017-10-30 20:01:40.766336000,7236344.0,0.8958950042724609,5687464.0,22de5ffd-8833-4ac4-b22e-a43453544c0d,15855036.0,bec1d642-7d64-45be-992e-bdd646d5556a,129899266.0
8,2017-10-30 20:01:46.288531000,7252928.0,0.8939800262451172,5687853.0,ff783fc6-6e68-4994-8b01-c69942a5881b,15829633.0,87b06bc9-7653-47b0-b792-45e7fbfe5be2,129972787.0
9,2017-10-30 20:01:51.766249000,7251641.0,0.8960933685302734,5682166.0,43ef063b-b5cb-487c-a6b3-5fea38aba0d3,15813767.0,baed0f27-1062-4ece-8922-26d76a1f00cd,129983638.0
10,2017-10-30 20:01:57.280014000,7249985.0,0.8957405090332031,5681567.0,b3c9d8eb-c91e-4ac9-a754-1932416ede2e,15793772.0,03242a71-1b44-4431-a3d7-11ccba7d0d1c,130044202.0
11,2017-10-30 20:02:02.773941000,7249522.0,0.8959827423095704,5673908.0,24a1d069-f35d-4c69-b694-2065c8ddc693,15770131.0,0541dc0f-e893-4932-b31d-5c5603c0d082,129997518.0
12,2017-10-30 20:02:08.157206000,7249937.0,0.8966999053955078,5672779.0,a0bbbabe-4fed-495c-99e3-860b58813ace,15765287.0,ba88a70e-cf17-47ed-9477-64c061b00a12,130061566.0
13,2017-10-30 20:02:13.549133000,7257475.0,0.8962459564208984,5674001.0,a5a7bac3-c525-4ac3-b4fb-a57115177b43,15750331.0,468fa41b-dda5-4435-b7ad-653d40220184,130103753.0
